Date,A3,B3,C3,D3,,A4,B4,C4,D4,,A5,B5,C5,D5,,A6,B6,C6,D6,,A7,B7,C7,D7,,GEN MW POWER OUTPUT,TOTAL COAL FLOW,MAIN STEAM FLOW,BLR TOTAL AIR FLOW,SH ATMP-1A SPRAY CTRL 50% VLV,SH ATMP-1B SPRAY CTRL 50% VLV,CID FAN A BLADE PITCH POS,FD FAN B BLADE PITCH FB,TOT OFA FLOW,ECO INLT FW FLOW 1
2021-01-02 10:00,52.27649945,38.72172924,43.25564688,36.16701668,,48.94282544,40.83396707,45.05542113,39.84592556,,51.39300406,41.98248178,45.41469417,38.54899883,,55.13925338,48.4714878,52.55829195,44.27982783,,55.84501042,47.70749627,51.89792835,41.33724705,,803.68,289.46,2103.5,2674.95,86.33,37.69,47.76,39.45,838.04,1968.37
2021-01-02 11:00,49.75001049,38.39262441,43.01487674,36.11576193,,47.03084686,40.34382294,44.71110503,39.658472,,48.38915158,40.16070056,43.41895313,36.71506138,,53.03867095,48.48153369,52.4119068,44.11196596,,55.74433171,48.62082355,52.57385567,41.82285554,,777.1,281.03,2027.4,2597.58,75.09,41.54,46.46,38.05,788.99,1901.79
2021-01-02 12:00,50.63441128,39.12315362,43.93602209,36.46944054,,48.52281561,40.9934314,45.87460373,40.08935505,,50.76218056,44.67191527,48.01676982,41.46157561,,54.60338321,50.34333391,54.53932517,45.5031752,,55.15803907,48.14928376,52.68894326,42.08202524,,755.22,271.98,1960.5,2528.94,61.53,38.14,45.16,36.85,758.29,1847.09
2021-01-02 13:00,50.4094233,38.9811524,43.66620149,36.46936999,,48.24150664,40.9162454,45.68777971,39.95474727,,50.73130523,46.10198669,49.72310282,43.10011505,,55.13634563,50.97330765,55.2052324,46.17005013,,54.51039995,47.20677179,51.88779621,41.33852111,,796.92,287.09,2077.44,2652.57,65.66,42.59,47.75,39.3,829.09,1965.1
2021-01-02 14:00,50.14099645,38.5013683,42.97149917,35.54589181,,46.88391412,40.57887227,45.17478894,39.71135307,,47.93996655,41.8126144,45.3391097,38.87604053,,53.6553887,49.27170937,53.396176,44.83308823,,54.56543436,46.49552923,50.95426133,40.6639268,,790.15,283.52,2060.5,2633.82,77.14,35.35,47.14,38.91,827.08,1934.71
2021-01-02 15:00,50.28709587,38.75906607,43.49852445,36.12964209,,47.68607651,41.35068331,46.68597548,40.25936977,,48.9067136,42.84885374,46.37201272,39.09171023,,54.09086411,50.62456867,54.97167385,45.73664147,,55.02893556,47.76179073,52.11170638,41.35974638,,790.92,284.41,2063.21,2642.59,80.15,42.95,46.79,39.07,825.46,1930.87
2021-01-02 16:00,49.94154831,39.12182426,44.05055128,37.27868064,,47.92225026,41.66033514,46.81499233,40.38994225,,49.02928491,43.00363921,46.39281548,39.45801498,,54.30350999,50.7666571,55.26262528,45.73026425,,55.43929371,48.10772795,52.58660709,41.81318871,,802.58,289.55,2099.19,2678.84,81.73,30.14,47.44,39.8,843.76,1979.74
2021-01-02 17:00,51.5947098,38.71964811,43.19088778,35.85263736,,48.49204777,40.81746719,45.28523639,39.773142,,49.21180503,41.45747328,44.8575122,38.20867351,,54.76026861,48.99650856,53.26430758,44.44498619,,55.81064942,48.09255608,51.92328713,41.35277109,,786.77,283.01,2049.07,2624.76,82.14,32.08,45.98,38.56,814.56,1923.2
2021-01-02 18:00,48.98183376,38.43771816,43.02922456,35.25621534,,47.76224099,40.8348183,45.47116979,39.99714684,,49.44580879,41.87431612,45.47934938,38.58482135,,54.18338998,49.07277955,53.91985667,45.48019961,,54.71505228,47.2923202,51.3830732,40.86708815,,800.56,287.69,2092.9,2672.86,92.11,27.88,47.18,39.52,848.46,1967.03
2021-01-02 19:00,48.9705574,38.30462618,43.34612767,36.45178415,,46.40666203,40.97208499,45.93538068,40.00659147,,47.26161648,40.99614785,44.6676398,37.38023314,,52.96301934,49.35294034,54.11567748,45.08018878,,55.15909662,47.98270742,51.7212659,41.07474102,,798.29,287.25,2087.88,2667.43,90.45,40.48,46.89,39.32,840.6,1947.29
2021-01-02 20:00,49.17416126,38.43208263,43.54804039,36.94176285,,46.32333929,40.93671548,45.86340943,39.98188435,,47.48441897,41.54191118,45.06763994,37.87054047,,52.69229039,48.94250523,53.73742574,44.54486446,,55.06052882,47.5041874,51.72331771,41.07120148,,754.57,269.88,1961.82,2526.9,89.08,34.45,44.01,36.67,772.09,1827.32
2021-01-02 21:00,58.79440661,49.95242143,53.62819264,42.45957499,,56.63372991,51.15487156,55.71840015,45.46687988,,52.58532199,46.20400853,48.98643064,41.93046292,,55.71248975,49.75864529,54.56928169,45.85130413,,55.53097378,47.41819244,51.69945941,40.91887626,,777.77,284.27,2037.49,2628.31,48.41,8.34,46,38.64,808.94,1990.52
2021-01-02 22:00,60.40232764,45.63059117,49.44962582,39.38565789,,58.95524241,47.54050739,52.1804381,42.48484343,,59.20023601,53.20185102,55.5904505,48.52544463,,61.60908074,55.52337836,57.99048844,47.67300399,,61.48967606,55.7558456,58.7389066,46.8413464,,801.26,291.22,2104.19,2685.92,45.63,6.32,47.31,39.73,833.3,2044.57
2021-01-02 23:00,54.80877505,39.74447942,44.34247203,36.12705004,,52.50255068,41.95798297,47.09834903,40.21048258,,52.90086196,42.38462133,45.87440793,39.12881211,,55.09961457,48.77120075,53.05449853,44.42434132,,57.22723005,51.16320085,55.53969557,45.03687049,,805.35,292.52,2101.95,2700.41,71.79,28.55,47.59,39.95,845.06,1986.79
2021-01-03 0:00,51.06638808,40.255108,45.23381555,37.4251086,,48.18405272,41.7290436,47.01710006,40.30961286,,48.82281632,40.82811779,44.70737517,37.51139956,,51.3076902,47.9144404,52.82967781,44.0534919,,55.461389,49.81328182,53.92402618,43.21395235,,804.84,292.87,2104.84,2695.4,80.21,41.25,47.8,39.9,834.45,1972.98
